IncidentId,Date,StartTime,EndTime,RuleId,DurationInSeconds,Score,Hand,AvgDegree,Username,UserId
1,04/25/2025,17:55:32,17:55:34,3,2,1,-1,-1,prueba,123456
2,04/25/2025,17:55:34,17:55:36,2,1,1,Right,25,prueba,123456
3,04/25/2025,17:55:36,17:55:38,2,2,1,Right,22,prueba,123456
4,04/25/2025,17:55:37,17:55:38,3,1,1,-1,-1,prueba,123456
5,04/25/2025,17:55:38,17:55:40,2,2,1,Right,28,prueba,123456
6,04/25/2025,17:55:39,17:55:43,3,3,1,-1,-1,prueba,123456
7,04/25/2025,17:55:43,17:55:44,1,1,2,Right,35,prueba,123456
8,04/25/2025,17:55:44,17:55:45,2,1,1,Right,19,prueba,123456
9,04/25/2025,17:55:45,17:55:51,3,6,1,-1,-1,prueba,123456
10,04/25/2025,17:55:52,17:55:53,1,1,2,Right,53,prueba,123456
11,04/25/2025,17:55:52,17:55:53,2,1,1,Right,52,prueba,123456
12,04/25/2025,17:55:53,17:55:57,1,3,1,Right,-3,prueba,123456
13,04/25/2025,17:55:52,17:55:57,3,5,1,-1,-1,prueba,123456
14,04/25/2025,17:55:57,17:55:59,3,1,1,-1,-1,prueba,123456
15,04/25/2025,17:56:02,17:56:03,1,1,2,Right,21,prueba,123456
16,04/25/2025,17:56:03,17:56:04,1,1,2,Left,22,prueba,123456
17,04/25/2025,17:56:05,17:56:06,1,1,2,Left,21,prueba,123456
18,04/25/2025,17:56:06,17:56:07,1,1,2,Right,18,prueba,123456
19,04/25/2025,17:56:06,17:56:07,1,1,2,Left,19,prueba,123456
20,04/25/2025,17:55:59,17:56:08,3,9,1,-1,-1,prueba,123456
21,04/25/2025,17:56:08,17:56:09,2,1,1,Right,15,prueba,123456
22,04/25/2025,17:56:09,17:56:11,1,2,2,Left,21,prueba,123456
23,04/25/2025,17:56:06,17:56:15,2,9,1,Left,21,prueba,123456
24,04/25/2025,17:56:15,17:56:16,2,1,1,Right,15,prueba,123456
25,04/25/2025,17:56:15,17:56:19,3,4,1,-1,-1,prueba,123456
26,04/25/2025,17:56:17,17:56:19,2,2,1,Right,13,prueba,123456
27,04/25/2025,17:56:22,17:56:26,2,3,1,Right,15,prueba,123456
28,04/25/2025,17:56:27,17:56:29,1,1,2,Right,20,prueba,123456
29,04/25/2025,17:56:26,17:56:29,1,3,2,Left,25,prueba,123456
30,04/25/2025,17:56:26,17:56:31,2,5,1,Left,42,prueba,123456
31,04/25/2025,17:56:54,17:56:56,2,1,1,Left,20,prueba,123456
32,04/25/2025,17:56:57,17:56:58,2,1,1,Left,23,prueba,123456
33,04/25/2025,17:56:58,17:56:59,1,1,2,Left,28,prueba,123456
34,04/25/2025,17:56:58,17:57:00,2,1,1,Left,27,prueba,123456
35,04/25/2025,17:57:01,17:57:03,1,1,2,Left,23,prueba,123456
36,04/25/2025,17:56:31,17:57:04,2,33,1,Right,48,prueba,123456
37,04/25/2025,17:57:01,17:57:05,2,4,1,Left,34,prueba,123456
38,04/25/2025,17:57:08,17:57:09,1,1,1,Right,-4,prueba,123456
39,04/25/2025,17:57:06,17:57:13,1,7,2,Left,30,prueba,123456
40,04/25/2025,17:57:10,17:57:13,1,3,1,Right,-4,prueba,123456
41,04/25/2025,17:57:15,17:57:17,1,2,1,Right,-3,prueba,123456
42,04/25/2025,17:57:07,17:57:18,2,10,1,Right,18,prueba,123456
43,04/25/2025,17:57:17,17:57:19,2,1,1,Left,44,prueba,123456
44,04/25/2025,17:57:17,17:57:19,1,1,2,Left,40,prueba,123456
45,04/25/2025,17:57:19,17:57:29,2,9,1,Right,39,prueba,123456
46,04/29/2025,09:58:29,09:58:31,2,2,1,Right,27,prueba,123456
47,04/29/2025,09:58:31,09:58:32,2,1,1,Right,16,prueba,123456
48,04/29/2025,09:58:31,09:58:36,3,5,1,-1,-1,prueba,123456
49,04/29/2025,09:58:35,09:58:39,2,3,1,Right,30,prueba,123456
50,04/29/2025,09:58:40,09:58:42,2,2,1,Right,21,prueba,123456
51,04/29/2025,09:58:40,09:58:43,2,2,1,Left,26,prueba,123456
52,04/29/2025,09:58:43,09:58:45,2,2,1,Right,17,prueba,123456
53,04/29/2025,09:58:51,09:58:53,2,1,1,Right,20,prueba,123456
54,04/29/2025,09:58:53,09:58:54,1,1,1,Right,-2,prueba,123456
55,04/29/2025,09:58:54,09:58:56,1,1,1,Right,-3,prueba,123456
56,04/29/2025,09:58:59,09:59:00,3,1,1,-1,-1,prueba,123456
57,04/29/2025,10:44:14,10:44:17,1,2,2,Right,27,prueba,123456
58,04/29/2025,10:44:18,10:44:19,1,1,2,Right,18,prueba,123456
59,04/29/2025,10:44:20,10:44:22,1,2,2,Right,20,prueba,123456
60,04/29/2025,10:44:23,10:44:24,3,1,1,-1,-1,prueba,123456
61,04/29/2025,10:44:25,10:44:26,1,1,2,Right,19,prueba,123456
62,04/29/2025,10:44:26,10:44:28,1,1,2,Right,17,prueba,123456
63,04/29/2025,10:44:25,10:44:29,3,3,1,-1,-1,prueba,123456
64,04/29/2025,10:44:30,10:44:33,3,2,1,-1,-1,prueba,123456
65,04/29/2025,10:44:14,10:44:33,2,19,1,Right,38,prueba,123456
66,04/29/2025,12:33:41,12:33:42,2,1,1,Left,33,prueba,123456
67,04/29/2025,12:40:43,12:40:44,2,1,1,Right,23,prueba,123456
68,04/29/2025,12:40:45,12:40:47,2,2,1,Left,20,prueba,123456
69,04/30/2025,08:48:47,08:48:53,2,5,1,Right,22,prueba,123456
70,04/30/2025,08:48:53,08:48:55,1,1,2,Right,18,prueba,123456
71,04/30/2025,08:48:50,08:48:56,2,6,1,Left,24,prueba,123456
72,04/30/2025,08:48:55,08:48:56,1,1,2,Right,18,prueba,123456
73,04/30/2025,08:48:53,08:48:57,2,3,1,Right,14,prueba,123456
74,04/30/2025,08:48:58,08:49:01,2,3,1,Left,27,prueba,123456
75,04/30/2025,08:48:58,08:49:01,3,3,1,-1,-1,prueba,123456
76,04/30/2025,08:48:57,08:49:03,2,6,1,Right,27,prueba,123456
77,04/30/2025,08:49:03,08:49:04,3,1,1,-1,-1,prueba,123456
78,04/30/2025,08:49:03,08:49:06,1,2,2,Right,34,prueba,123456
79,04/30/2025,08:49:05,08:49:07,2,2,1,Right,24,prueba,123456
